,row,column,imputed_value
236,446,RoomService,0.0
237,7157,HomePlanet_Earth,1.0
238,7157,HomePlanet_Europa,0.0
239,7157,HomePlanet_Mars,0.0
240,891,RoomService,1179.0
241,4516,Destination_55 Cancri e,0.0
242,4516,Destination_PSO J318.5-22,0.0
243,4516,Destination_TRAPPIST-1e,1.0
244,5725,HomePlanet_Earth,1.0
245,5725,HomePlanet_Europa,0.0
246,5725,HomePlanet_Mars,0.0
247,8644,VRDeck,528.0
248,5820,VIP,0.0
249,6626,VIP,0.0
250,834,VIP,0.0
251,253,VRDeck,711.0
252,253,Cabin_num,1448
253,253,Deck_A,0.0
254,253,Deck_B,0.0
255,253,Deck_C,0.0
256,253,Deck_D,0.0
257,253,Deck_E,0.0
258,253,Deck_F,1.0
259,253,Deck_G,0.0
260,253,Deck_T,0.0
261,253,Side_P,1.0
262,253,Side_S,0.0
263,6674,Age,31.0
264,2359,Destination_55 Cancri e,0.0
265,2359,Destination_PSO J318.5-22,0.0
266,2359,Destination_TRAPPIST-1e,1.0
267,5123,RoomService,965.0
268,7398,Cabin_num,1118
269,7398,Deck_A,0.0
270,7398,Deck_B,0.0
271,7398,Deck_C,0.0
272,7398,Deck_D,0.0
273,7398,Deck_E,0.0
274,7398,Deck_F,0.0
275,7398,Deck_G,1.0
276,7398,Deck_T,0.0
277,7398,Side_P,1.0
278,7398,Side_S,0.0
279,3347,Cabin_num,541
280,3347,Deck_A,0.0
281,3347,Deck_B,0.0
282,3347,Deck_C,0.0
283,3347,Deck_D,0.0
284,3347,Deck_E,0.0
285,3347,Deck_F,1.0
286,3347,Deck_G,0.0
287,3347,Deck_T,0.0
288,3347,Side_P,0.0
289,3347,Side_S,1.0
290,5533,CryoSleep,1.0
291,1227,ShoppingMall,391.0
292,2457,VRDeck,0.0
293,1115,FoodCourt,0.0
294,5897,RoomService,1501.0
295,6630,VRDeck,0.0
296,3408,ShoppingMall,0.0
297,1887,VRDeck,0.0
298,6384,RoomService,1681.0
299,5088,Age,1.0
300,5088,VIP,0.0
301,2654,ShoppingMall,0.0
302,8056,HomePlanet_Earth,1.0
303,8056,HomePlanet_Europa,0.0
304,8056,HomePlanet_Mars,0.0
305,598,VIP,0.0
306,8068,Cabin_num,371
307,8068,Deck_A,0.0
308,8068,Deck_B,0.0
309,8068,Deck_C,0.0
310,8068,Deck_D,0.0
311,8068,Deck_E,0.0
312,8068,Deck_F,0.0
313,8068,Deck_G,1.0
314,8068,Deck_T,0.0
315,8068,Side_P,1.0
316,8068,Side_S,0.0
317,3878,RoomService,0.0
318,3493,Cabin_num,949
319,3493,Deck_A,0.0
320,3493,Deck_B,0.0
321,3493,Deck_C,0.0
322,3493,Deck_D,0.0
323,3493,Deck_E,0.0
324,3493,Deck_F,0.0
325,3493,Deck_G,1.0
326,3493,Deck_T,0.0
327,3493,Side_P,0.0
328,3493,Side_S,1.0
329,2890,Destination_55 Cancri e,0.0
330,2890,Destination_PSO J318.5-22,0.0
331,2890,Destination_TRAPPIST-1e,1.0
332,944,VIP,0.0
333,8609,ShoppingMall,0.0
334,3109,Age,54.0
335,2384,Cabin_num,209
336,2384,Deck_A,0.0
337,2384,Deck_B,1.0
338,2384,Deck_C,0.0
339,2384,Deck_D,0.0
340,2384,Deck_E,0.0
341,2384,Deck_F,0.0
342,2384,Deck_G,0.0
343,2384,Deck_T,0.0
344,2384,Side_P,0.0
345,2384,Side_S,1.0
346,7452,RoomService,94.0
347,6910,Spa,0.0
348,8686,HomePlanet_Earth,1.0
349,8686,HomePlanet_Europa,0.0
350,8686,HomePlanet_Mars,0.0
351,8124,Destination_55 Cancri e,0.0
352,8124,Destination_PSO J318.5-22,0.0
353,8124,Destination_TRAPPIST-1e,1.0
354,7512,Destination_55 Cancri e,0.0
355,7512,Destination_PSO J318.5-22,0.0
356,7512,Destination_TRAPPIST-1e,1.0
357,6700,Age,47.0
358,7796,Spa,0.0
359,1685,Spa,0.0
360,1217,ShoppingMall,1094.0
361,4646,Age,36.0
362,5106,Age,33.0
363,4977,Destination_55 Cancri e,0.0
364,4977,Destination_PSO J318.5-22,0.0
365,4977,Destination_TRAPPIST-1e,1.0
366,6526,CryoSleep,0.0
367,4177,Spa,44.0
368,495,Age,2.0
369,7822,ShoppingMall,615.0
370,7567,ShoppingMall,2690.0
371,5016,ShoppingMall,0.0
372,4731,Cabin_num,1102
373,4731,Deck_A,0.0
374,4731,Deck_B,0.0
375,4731,Deck_C,0.0
376,4731,Deck_D,0.0
377,4731,Deck_E,0.0
378,4731,Deck_F,1.0
379,4731,Deck_G,0.0
380,4731,Deck_T,0.0
381,4731,Side_P,0.0
382,4731,Side_S,1.0
383,6041,RoomService,2226.0
384,3530,RoomService,693.0
385,291,Spa,0.0
386,4722,FoodCourt,3856.0
387,2107,ShoppingMall,23492.0
388,4571,ShoppingMall,363.0
389,2211,ShoppingMall,0.0
390,5647,VIP,0.0
391,6207,HomePlanet_Earth,0.0
392,6207,HomePlanet_Europa,1.0
393,6207,HomePlanet_Mars,0.0
394,2640,ShoppingMall,0.0
395,2640,HomePlanet_Earth,1.0
396,2640,HomePlanet_Europa,0.0
397,2640,HomePlanet_Mars,0.0
398,1737,Age,32.0
399,3483,RoomService,198.0
400,948,Cabin_num,1106
401,948,Deck_A,0.0
402,948,Deck_B,0.0
403,948,Deck_C,0.0
404,948,Deck_D,0.0
405,948,Deck_E,0.0
406,948,Deck_F,1.0
407,948,Deck_G,0.0
408,948,Deck_T,0.0
409,948,Side_P,0.0
410,948,Side_S,1.0
411,3430,VIP,0.0
412,8462,FoodCourt,4231.0
413,5688,FoodCourt,1607.0
414,220,FoodCourt,0.0
415,3302,VRDeck,2126.0
416,7116,CryoSleep,0.0
417,7116,Destination_55 Cancri e,0.0
418,7116,Destination_PSO J318.5-22,0.0
419,7116,Destination_TRAPPIST-1e,1.0
420,3909,Age,20.0
421,8374,Destination_55 Cancri e,0.0
422,8374,Destination_PSO J318.5-22,1.0
423,8374,Destination_TRAPPIST-1e,0.0
424,8387,FoodCourt,0.0
425,2429,Cabin_num,1471
426,2429,Deck_A,0.0
427,2429,Deck_B,0.0
428,2429,Deck_C,0.0
429,2429,Deck_D,0.0
430,2429,Deck_E,0.0
431,2429,Deck_F,0.0
432,2429,Deck_G,1.0
433,2429,Deck_T,0.0
434,2429,Side_P,1.0
435,2429,Side_S,0.0
436,5621,Spa,388.0
437,6388,ShoppingMall,0.0
438,3230,ShoppingMall,2096.0
439,383,Age,24.0
440,6827,CryoSleep,0.0
441,822,RoomService,233.0
442,3860,Cabin_num,515
443,3860,HomePlanet_Earth,1.0
444,3860,HomePlanet_Europa,0.0
445,3860,HomePlanet_Mars,0.0
446,3860,Deck_A,0.0
447,3860,Deck_B,0.0
448,3860,Deck_C,0.0
449,3860,Deck_D,0.0
450,3860,Deck_E,0.0
451,3860,Deck_F,1.0
452,3860,Deck_G,0.0
453,3860,Deck_T,0.0
454,3860,Side_P,1.0
455,3860,Side_S,0.0
456,2793,RoomService,1393.0
457,2793,HomePlanet_Earth,1.0
458,2793,HomePlanet_Europa,0.0
459,2793,HomePlanet_Mars,0.0
460,8316,VIP,0.0
461,3513,FoodCourt,659.0
462,436,Age,19.0
463,5944,Age,62.0
464,6425,RoomService,14327.0
465,1483,VIP,0.0
466,268,CryoSleep,0.0
467,1269,HomePlanet_Earth,0.0
468,1269,HomePlanet_Europa,0.0
469,1269,HomePlanet_Mars,1.0
470,6903,CryoSleep,0.0
471,1612,Cabin_num,1567
472,1612,Deck_A,0.0
473,1612,Deck_B,0.0
474,1612,Deck_C,0.0
475,1612,Deck_D,0.0
476,1612,Deck_E,0.0
477,1612,Deck_F,1.0
478,1612,Deck_G,0.0
479,1612,Deck_T,0.0
480,1612,Side_P,0.0
481,1612,Side_S,1.0
482,1798,Age,32.0
483,2929,Destination_55 Cancri e,0.0
484,2929,Destination_PSO J318.5-22,0.0
485,2929,Destination_TRAPPIST-1e,1.0
486,7740,VIP,0.0
487,7269,FoodCourt,0.0
488,6345,VRDeck,2725.0
489,6490,VIP,0.0
490,6490,ShoppingMall,278.0
491,8040,VIP,0.0
492,8040,Destination_55 Cancri e,0.0
493,8040,Destination_PSO J318.5-22,0.0
494,8040,Destination_TRAPPIST-1e,1.0
495,7901,Cabin_num,1546
496,7901,Deck_A,0.0
497,7901,Deck_B,0.0
498,7901,Deck_C,0.0
499,7901,Deck_D,0.0
500,7901,Deck_E,0.0
501,7901,Deck_F,1.0
502,7901,Deck_G,0.0
503,7901,Deck_T,0.0
504,7901,Side_P,1.0
505,7901,Side_S,0.0
506,7938,CryoSleep,0.0
507,842,VIP,0.0
508,842,Spa,0.0
509,8011,VIP,0.0
510,7034,VIP,0.0
511,8045,Cabin_num,191
512,8045,Deck_A,0.0
513,8045,Deck_B,0.0
514,8045,Deck_C,1.0
515,8045,Deck_D,0.0
516,8045,Deck_E,0.0
517,8045,Deck_F,0.0
518,8045,Deck_G,0.0
519,8045,Deck_T,0.0
520,8045,Side_P,0.0
521,8045,Side_S,1.0
522,8327,HomePlanet_Earth,1.0
523,8327,HomePlanet_Europa,0.0
524,8327,HomePlanet_Mars,0.0
525,4586,RoomService,0.0
526,4660,CryoSleep,0.0
527,5249,Cabin_num,612
528,5249,Deck_A,0.0
529,5249,Deck_B,0.0
530,5249,Deck_C,0.0
531,5249,Deck_D,0.0
532,5249,Deck_E,0.0
533,5249,Deck_F,0.0
534,5249,Deck_G,1.0
535,5249,Deck_T,0.0
536,5249,Side_P,1.0
537,5249,Side_S,0.0
538,6284,Cabin_num,1312
539,6284,Deck_A,0.0
540,6284,Deck_B,0.0
541,6284,Deck_C,0.0
542,6284,Deck_D,0.0
543,6284,Deck_E,0.0
544,6284,Deck_F,0.0
545,6284,Deck_G,1.0
546,6284,Deck_T,0.0
547,6284,Side_P,0.0
548,6284,Side_S,1.0
549,3202,VRDeck,0.0
550,5323,Cabin_num,297
551,5323,Deck_A,0.0
552,5323,Deck_B,0.0
553,5323,Deck_C,0.0
554,5323,Deck_D,1.0
555,5323,Deck_E,0.0
556,5323,Deck_F,0.0
557,5323,Deck_G,0.0
558,5323,Deck_T,0.0
559,5323,Side_P,1.0
560,5323,Side_S,0.0
561,8157,CryoSleep,1.0
562,2484,Age,29.0
563,732,CryoSleep,1.0
564,7287,RoomService,0.0
565,5399,RoomService,637.0
566,5050,Age,19.0
567,6333,Destination_55 Cancri e,0.0
568,6333,Destination_PSO J318.5-22,0.0
569,6333,Destination_TRAPPIST-1e,1.0
570,2669,FoodCourt,0.0
571,8192,FoodCourt,0.0
572,7838,Cabin_num,1826
573,7838,Deck_A,0.0
574,7838,Deck_B,0.0
575,7838,Deck_C,0.0
576,7838,Deck_D,0.0
577,7838,Deck_E,0.0
578,7838,Deck_F,1.0
579,7838,Deck_G,0.0
580,7838,Deck_T,0.0
581,7838,Side_P,1.0
582,7838,Side_S,0.0
583,1619,CryoSleep,0.0
584,5937,FoodCourt,1567.0
585,1982,Cabin_num,0
586,1982,Deck_A,0.0
587,1982,Deck_B,0.0
588,1982,Deck_C,0.0
589,1982,Deck_D,0.0
590,1982,Deck_E,1.0
591,1982,Deck_F,0.0
592,1982,Deck_G,0.0
593,1982,Deck_T,0.0
594,1982,Side_P,0.0
595,1982,Side_S,1.0
596,8126,VIP,0.0
597,3955,VRDeck,1175.0
598,908,Destination_55 Cancri e,0.0
599,908,Destination_PSO J318.5-22,0.0
600,908,Destination_TRAPPIST-1e,1.0
601,8114,Spa,448.0
602,5245,Destination_55 Cancri e,0.0
603,5245,Destination_PSO J318.5-22,0.0
604,5245,Destination_TRAPPIST-1e,1.0
605,7732,Destination_55 Cancri e,0.0
606,7732,Destination_PSO J318.5-22,0.0
607,7732,Destination_TRAPPIST-1e,1.0
608,782,VIP,0.0
609,6878,RoomService,1701.0
610,5783,Age,33.0
611,369,FoodCourt,0.0
612,3437,Spa,0.0
613,106,CryoSleep,0.0
614,622,Destination_55 Cancri e,0.0
615,622,Destination_PSO J318.5-22,0.0
616,622,Destination_TRAPPIST-1e,1.0
617,2818,Cabin_num,301
618,2818,Deck_A,0.0
619,2818,Deck_B,0.0
620,2818,Deck_C,1.0
621,2818,Deck_D,0.0
622,2818,Deck_E,0.0
623,2818,Deck_F,0.0
624,2818,Deck_G,0.0
625,2818,Deck_T,0.0
626,2818,Side_P,1.0
627,2818,Side_S,0.0
628,2716,Destination_55 Cancri e,0.0
629,2716,Destination_PSO J318.5-22,0.0
630,2716,Destination_TRAPPIST-1e,1.0
631,17,Cabin_num,534
632,17,Deck_A,0.0
633,17,Deck_B,0.0
634,17,Deck_C,0.0
635,17,Deck_D,0.0
636,17,Deck_E,0.0
637,17,Deck_F,1.0
638,17,Deck_G,0.0
639,17,Deck_T,0.0
640,17,Side_P,1.0
641,17,Side_S,0.0
642,7288,HomePlanet_Earth,1.0
643,7288,HomePlanet_Europa,0.0
644,7288,HomePlanet_Mars,0.0
645,1023,Destination_55 Cancri e,0.0
646,1023,Destination_PSO J318.5-22,0.0
647,1023,Destination_TRAPPIST-1e,1.0
648,8544,VIP,0.0
649,6695,FoodCourt,0.0
650,8677,CryoSleep,0.0
651,8677,VRDeck,0.0
652,2386,Spa,0.0
653,6898,VIP,0.0
654,4528,Cabin_num,1004
655,4528,Deck_A,0.0
656,4528,Deck_B,0.0
657,4528,Deck_C,0.0
658,4528,Deck_D,0.0
659,4528,Deck_E,0.0
660,4528,Deck_F,1.0
661,4528,Deck_G,0.0
662,4528,Deck_T,0.0
663,4528,Side_P,0.0
664,4528,Side_S,1.0
665,1411,VRDeck,1840.0
666,1002,FoodCourt,0.0
667,7416,ShoppingMall,315.0
668,387,FoodCourt,1070.0
669,3700,Destination_55 Cancri e,0.0
670,3700,Destination_PSO J318.5-22,0.0
671,3700,Destination_TRAPPIST-1e,1.0
672,8279,VIP,0.0
673,2776,ShoppingMall,1516.0
674,3879,FoodCourt,1341.0
675,2243,ShoppingMall,388.0
676,4786,RoomService,935.0
677,2252,ShoppingMall,959.0
678,7565,RoomService,0.0
679,6850,Destination_55 Cancri e,1.0
680,6850,Destination_PSO J318.5-22,0.0
681,6850,Destination_TRAPPIST-1e,0.0
682,4197,RoomService,1839.0
683,3356,VRDeck,1727.0
684,4325,CryoSleep,0.0
685,4077,VIP,0.0
686,4077,Destination_55 Cancri e,0.0
687,4077,Destination_PSO J318.5-22,1.0
688,4077,Destination_TRAPPIST-1e,0.0
689,2792,ShoppingMall,0.0
690,5975,RoomService,0.0
691,992,RoomService,1330.0
692,5891,Destination_55 Cancri e,0.0
693,5891,Destination_PSO J318.5-22,1.0
694,5891,Destination_TRAPPIST-1e,0.0
695,3555,VRDeck,1574.0
696,4775,Destination_55 Cancri e,0.0
697,4775,Destination_PSO J318.5-22,0.0
698,4775,Destination_TRAPPIST-1e,1.0
699,5718,ShoppingMall,0.0
700,3419,FoodCourt,2131.0
701,7089,Age,33.0
702,6713,CryoSleep,0.0
703,1930,CryoSleep,0.0
704,4645,VIP,0.0
705,1849,ShoppingMall,0.0
706,2253,Spa,0.0
707,6410,VIP,0.0
708,7866,Spa,0.0
709,2459,RoomService,0.0
710,2459,VRDeck,0.0
711,2860,CryoSleep,0.0
712,3741,Cabin_num,196
713,3741,Deck_A,0.0
714,3741,Deck_B,0.0
715,3741,Deck_C,0.0
716,3741,Deck_D,0.0
717,3741,Deck_E,1.0
718,3741,Deck_F,0.0
719,3741,Deck_G,0.0
720,3741,Deck_T,0.0
721,3741,Side_P,0.0
722,3741,Side_S,1.0
723,1079,ShoppingMall,0.0
724,2682,Spa,0.0
725,2298,FoodCourt,95.0
726,2298,VRDeck,2033.0
727,7849,Cabin_num,1421
728,7849,Deck_A,0.0
729,7849,Deck_B,0.0
730,7849,Deck_C,0.0
731,7849,Deck_D,0.0
732,7849,Deck_E,0.0
733,7849,Deck_F,1.0
734,7849,Deck_G,0.0
735,7849,Deck_T,0.0
736,7849,Side_P,0.0
737,7849,Side_S,1.0
738,1719,Destination_55 Cancri e,0.0
739,1719,Destination_PSO J318.5-22,0.0
740,1719,Destination_TRAPPIST-1e,1.0
741,5578,HomePlanet_Earth,1.0
742,5578,HomePlanet_Europa,0.0
743,5578,HomePlanet_Mars,0.0
744,2046,CryoSleep,0.0
745,2915,FoodCourt,1671.0
746,3442,Destination_55 Cancri e,0.0
747,3442,Destination_PSO J318.5-22,0.0
748,3442,Destination_TRAPPIST-1e,1.0
749,3093,HomePlanet_Earth,1.0
750,3093,HomePlanet_Europa,0.0
751,3093,HomePlanet_Mars,0.0
752,671,Destination_55 Cancri e,0.0
753,671,Destination_PSO J318.5-22,0.0
754,671,Destination_TRAPPIST-1e,1.0
755,4687,Destination_55 Cancri e,0.0
756,4687,Destination_PSO J318.5-22,0.0
757,4687,Destination_TRAPPIST-1e,1.0
758,6919,HomePlanet_Earth,1.0
759,6919,HomePlanet_Europa,0.0
760,6919,HomePlanet_Mars,0.0
761,6667,VIP,0.0
762,3616,Spa,0.0
763,2784,Spa,1559.0
764,3361,FoodCourt,371.0
765,5371,Age,40.0
766,5077,Spa,0.0
767,2204,FoodCourt,1286.0
768,5057,VIP,0.0
769,5057,HomePlanet_Earth,1.0
770,5057,HomePlanet_Europa,0.0
771,5057,HomePlanet_Mars,0.0
772,2304,FoodCourt,0.0
773,6982,Destination_55 Cancri e,0.0
774,6982,Destination_PSO J318.5-22,0.0
775,6982,Destination_TRAPPIST-1e,1.0
776,5391,Spa,457.0
777,4983,VIP,0.0
778,349,HomePlanet_Earth,1.0
779,349,HomePlanet_Europa,0.0
780,349,HomePlanet_Mars,0.0
781,349,Destination_55 Cancri e,0.0
782,349,Destination_PSO J318.5-22,0.0
783,349,Destination_TRAPPIST-1e,1.0
784,3871,VIP,0.0
785,3871,RoomService,0.0
786,8422,CryoSleep,0.0
787,5005,Age,25.0
788,236,HomePlanet_Earth,0.0
789,236,HomePlanet_Europa,1.0
790,236,HomePlanet_Mars,0.0
791,7311,HomePlanet_Earth,1.0
792,7311,HomePlanet_Europa,0.0
793,7311,HomePlanet_Mars,0.0
794,1136,VIP,0.0
795,1136,Cabin_num,175
796,1136,Deck_A,0.0
797,1136,Deck_B,0.0
798,1136,Deck_C,0.0
799,1136,Deck_D,0.0
800,1136,Deck_E,0.0
801,1136,Deck_F,1.0
802,1136,Deck_G,0.0
803,1136,Deck_T,0.0
804,1136,Side_P,0.0
805,1136,Side_S,1.0
806,2942,CryoSleep,0.0
807,1078,Destination_55 Cancri e,0.0
808,1078,Destination_PSO J318.5-22,0.0
809,1078,Destination_TRAPPIST-1e,1.0
810,7021,Age,22.0
811,7021,VRDeck,0.0
812,5179,ShoppingMall,2289.0
813,755,ShoppingMall,0.0
814,4338,FoodCourt,7200.0
815,3876,VIP,0.0
816,5773,VIP,0.0
817,5197,Spa,1162.0
818,4101,RoomService,857.0
819,7446,ShoppingMall,808.0
820,2481,ShoppingMall,0.0
821,2724,RoomService,0.0
822,3923,ShoppingMall,540.0
823,6969,VIP,0.0
824,1533,CryoSleep,0.0
825,1533,VRDeck,436.0
826,7118,HomePlanet_Earth,0.0
827,7118,HomePlanet_Europa,1.0
828,7118,HomePlanet_Mars,0.0
829,403,RoomService,0.0
830,7874,Destination_55 Cancri e,0.0
831,7874,Destination_PSO J318.5-22,0.0
832,7874,Destination_TRAPPIST-1e,1.0
833,147,VIP,0.0
834,6849,Cabin_num,1285
835,6849,Deck_A,0.0
836,6849,Deck_B,0.0
837,6849,Deck_C,0.0
838,6849,Deck_D,0.0
839,6849,Deck_E,0.0
840,6849,Deck_F,0.0
841,6849,Deck_G,1.0
842,6849,Deck_T,0.0
843,6849,Side_P,1.0
844,6849,Side_S,0.0
845,547,Age,25.0
846,547,VRDeck,0.0
847,2047,Destination_55 Cancri e,0.0
848,2047,Destination_PSO J318.5-22,0.0
849,2047,Destination_TRAPPIST-1e,1.0
850,2442,CryoSleep,0.0
851,4874,Destination_55 Cancri e,0.0
852,4874,Destination_PSO J318.5-22,0.0
853,4874,Destination_TRAPPIST-1e,1.0
